Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
16543.98014,24583,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,no,yes,yes
41671.58314,20575,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,yes,no,yes
39691.7274,25169,Chevrolet,Corvette,Conv 2D,Convertible,8,6,2,yes,yes,yes
11539.04853,24163,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,no,yes,yes
17294.181,29368,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,yes,yes,no
11464.62886,29410,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,yes,yes,yes
21982.64771,20472,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,yes,yes,yes
14582.76912,7115,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,yes,yes,yes
11179.95357,23121,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,no,yes,yes
19409.75261,18795,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,yes,yes,yes
11539.04853,38958,Saturn,Ion,Quad Coupe 2D,Coupe,4,2.2,2,no,no,no
18835.18976,8211,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,yes,no,yes
30075.99473,22052,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,yes,yes,yes
17986.22409,17488,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,no,yes,yes
36077.79612,21966,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,yes,no,yes
13998.12928,18257,Saturn,Ion,Sedan 4D,Sedan,4,2.2,4,no,yes,yes
22926.09037,14363,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,yes,yes,yes
20127.04418,18419,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,yes,yes,yes
16993.78033,23621,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,no,yes,yes
11031.12993,20156,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,no,yes,yes
