country,year,HIV.perc
Abkhazia,1979,NA
Afghanistan,1979,NA
Akrotiri and Dhekelia,1979,NA
Albania,1979,NA
Algeria,1979,NA
American Samoa,1979,NA
Andorra,1979,NA
Angola,1979,0.026527865
Anguilla,1979,NA
Antigua and Barbuda,1979,NA
Argentina,1979,0.02050798
Armenia,1979,NA
Aruba,1979,NA
Australia,1979,NA
Austria,1979,NA
Azerbaijan,1979,NA
Bahamas,1979,0.01
Bahrain,1979,NA
Bangladesh,1979,NA
Barbados,1979,0.02767648
Belarus,1979,NA
Belgium,1979,NA
Belize,1979,NA
Benin,1979,NA
Bermuda,1979,NA
Bhutan,1979,NA
Bolivia,1979,NA
Bosnia and Herzegovina,1979,NA
Botswana,1979,0.105976053
Brazil,1979,0.09447913
British Virgin Islands,1979,NA
Brunei,1979,NA
Bulgaria,1979,NA
Burkina Faso,1979,0.01
Burundi,1979,0.015913875
Cambodia,1979,NA
Cameroon,1979,NA
Canada,1979,0.012998487
Cape Verde,1979,NA
Cayman Islands,1979,NA
Central African Republic,1979,0.113034777
Chad,1979,0.039876698
Channel Islands,1979,NA
Chile,1979,NA
China,1979,NA
Christmas Island,1979,NA
Cocos Island,1979,NA
Colombia,1979,NA
Comoros,1979,NA
"Congo, Dem. Rep.",1979,NA
"Congo, Rep.",1979,0.01
Cook Is,1979,NA
Costa Rica,1979,NA
Cote d'Ivoire,1979,0.123178372
Croatia,1979,NA
Cuba,1979,NA
Cyprus,1979,NA
Czech Republic,1979,NA
Czechoslovakia,1979,NA
Denmark,1979,NA
Djibouti,1979,NA
Dominica,1979,NA
Dominican Republic,1979,0.056691281
East Germany,1979,NA
Ecuador,1979,0.013690696
Egypt,1979,NA
El Salvador,1979,NA
Equatorial Guinea,1979,0.082364934
Eritrea,1979,NA
Eritrea and Ethiopia,1979,NA
Estonia,1979,NA
Ethiopia,1979,NA
Faeroe Islands,1979,NA
Falkland Is (Malvinas),1979,NA
Fiji,1979,NA
Finland,1979,NA
France,1979,NA
French Guiana,1979,NA
French Polynesia,1979,NA
